experiment,train_time,eval_time
result/REDD_WashingMachine_1min/512/NILMFormer_0,2.394,0.074
result/REDD_WashingMachine_1min/512/NILMFormer_1,2.263,0.075
result/REDD_WashingMachine_1min/512/NILMFormer_2,1.827,0.073
result/REDD_Dishwasher_1min/128/NILMFormer_0,2.919,0.315
result/REDD_Dishwasher_1min/128/NILMFormer_1,1.948,0.316
result/REDD_Dishwasher_1min/128/NILMFormer_2,2.519,0.313
result/REDD_Dishwasher_1min/256/NILMFormer_0,1.55,0.153
result/REDD_Dishwasher_1min/256/NILMFormer_1,1.533,0.15
result/REDD_Dishwasher_1min/256/NILMFormer_2,1.637,0.151
result/REDD_Dishwasher_1min/512/NILMFormer_0,2.339,0.075
result/REDD_Dishwasher_1min/512/NILMFormer_1,1.492,0.074
result/REDD_Dishwasher_1min/512/NILMFormer_2,1.928,0.074
result/REDD_Microwave_1min/128/NILMFormer_0,1.674,0.315
result/REDD_Microwave_1min/128/NILMFormer_1,1.73,0.313
result/REDD_Microwave_1min/128/NILMFormer_2,1.697,0.312
result/REDD_Microwave_1min/256/NILMFormer_0,2.358,0.152
result/REDD_Microwave_1min/256/NILMFormer_1,1.311,0.155
result/REDD_Microwave_1min/256/NILMFormer_2,2.314,0.153
result/REDD_Microwave_1min/512/NILMFormer_0,2.005,0.079
result/REDD_Microwave_1min/512/NILMFormer_1,2.013,0.074
result/REDD_Microwave_1min/512/NILMFormer_2,1.997,0.076
result/REDD_Fridge_1min/128/NILMFormer_0,2.209,0.313
result/REDD_Fridge_1min/128/NILMFormer_1,2.275,0.313
result/REDD_Fridge_1min/128/NILMFormer_2,2.29,0.322
result/REDD_Fridge_1min/256/NILMFormer_0,2.386,0.195
result/REDD_Fridge_1min/256/NILMFormer_1,2.272,0.156
